Number,Name,Form,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed,Color,Generation,Gender Rate,Height,Weight,Shape,Form Order,Dex Entry,PokeApi Id,Ability 1,Ability 2,Hidden Ability,Title
1,Bulbasaur,,Grass,Poison,45,49,49,65,65,45,Green,1,1,0.7,6.9,Quadruped,0,"While it is young, it uses the nutrients that are
stored in the seed on its back in order to grow.",1,Overgrow,,Chlorophyll,Seed Pokémon
2,Ivysaur,,Grass,Poison,60,62,63,80,80,60,Green,1,1,1.0,13.0,Quadruped,0,"Exposure to sunlight adds to its strength.
Sunlight also makes the bud on its back
grow larger.",2,Overgrow,,Chlorophyll,Seed Pokémon
3,Venusaur,,Grass,Poison,80,82,83,100,100,80,Green,1,1,2.0,100.0,Quadruped,0,"A bewitching aroma wafts from its flower.
The fragrance becalms those engaged
in a battle.",3,Overgrow,,Chlorophyll,Seed Pokémon
3,Venusaur,Mega Venusaur,Grass,Poison,80,100,123,122,120,80,Green,6,1,2.4,155.5,Quadruped,1,"In order to support its flower, which has grown larger due to Mega Evolution, its back and legs have become stronger.",10133,Thick Fat,,,Seed Pokémon
3,Venusaur,Gigantamax Venusaur,Grass,Poison,80,82,83,100,100,80,Green,8,1,24.0,9999.99,Quadruped,2,Huge amounts of pollen burst from it with the force of a volcanic eruption. Breathing in too much of the pollen can cause fainting.,10195,Overgrow,,Chlorophyll,Seed Pokémon
4,Charmander,,Fire,,39,52,43,60,50,65,Red,1,1,0.6,8.5,Upright,0,"From the time it is born, a flame burns at the tip
of its tail. Its life would end if the flame were to
go out.",4,Blaze,,Solar Power,Lizard Pokémon
5,Charmeleon,,Fire,,58,64,58,80,65,80,Red,1,1,1.1,19.0,Upright,0,"If it becomes agitated during battle, it spouts
intense flames, incinerating its surroundings.",5,Blaze,,Solar Power,Flame Pokémon
6,Charizard,,Fire,Flying,78,84,78,109,85,100,Red,1,1,1.7,90.5,Upright,0,"Its wings can carry this Pokémon close to an
altitude of 4,600 feet. It blows out fire at very
high temperatures.",6,Blaze,,Solar Power,Flame Pokémon
6,Charizard,Mega Charizard X,Fire,Dragon,78,130,111,130,85,100,Red,6,1,1.7,110.5,Upright,1,The overwhelming power that fills its entire body causes it to turn black and creates intense blue flames.,10134,Tough Claws,,,Flame Pokémon
6,Charizard,Mega Charizard Y,Fire,Flying,78,104,78,159,115,100,Red,6,1,1.7,100.5,Upright,2,Its bond with its Trainer is the source of its power. It boasts speed and maneuverability greater than that of a jet fighter.,10135,Drought,,,Flame Pokémon
